account,opp,stage,forecasted,fc,amount,close,pinned,verdict,win_old,win_new,mom_old,mom_new,fc_conf,risk,commit,ceiling,qual_cap,override,win_reasons,mom_reasons,note
Rompetrol Group - Romania,Rompetrol_S2P,Formal Evaluation,False,Pipeline,300000.0,2026-12-31,False,At Risk,41.1,41.1,58.0,58.0,32.5,16.8,44.2,70.0,74 by access to power (economic buyer)=partial,False,momentum_adj +3.0: momentum 58 vs stage-expected 52 | preference -2.4: preference strength -0.40 (weight 20) | differentiation +1.8: differentiation strength +0.30 (weight 20) | champion +1.4: champion strength +0.30 (weight 15) | exec_access +1.4: exec access strength +0.30 (weight 15) | competitive +0.9: competitive strength +0.20 (weight 15),engagement +8.0: buyer touched the deal 7d ago (buyer reply) — freshness floor,
Renuity,Renuity_S2P+Intake_June'26,Formal Evaluation,False,Pipeline,300000.0,2026-10-31,False,On Track,52.0,52.0,77.5,77.5,54.1,0.0,44.2,52.0,52 by access to power (economic buyer)=gap,False,momentum_adj +12.8: momentum 78 vs stage-expected 52 | differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'manual process' in Next-Step/narrative | trend_nudge +4.0: recent CRM moves: stage advanced | preference +2.4: preference strength +0.40 (weight 20) | exec_access -2.2: exec access strength -0.50 (weight 15) | competitive -2.2: competitive strength -0.50 (weight 15),engagement +21.5: engagement points 21.5 (type × buyer/rep × recency over 60d) | progression +6.0: stage trend: moved UP recently — deal advancing,
Nedbank Ltd,Nedbank S2P,Formal Evaluation,False,Pipeline,300000.0,2027-01-20,False,Slowing,9.2,9.2,25.0,25.0,0.0,9.1,33.5,52.0,52 by access to power (economic buyer)=gap,False,momentum_adj -27.0: momentum 25 vs stage-expected 52 | competitive -4.5: competitive strength -1.00 (weight 15) | differentiation +3.6: differentiation strength +0.60 (weight 20) — from MEDDPICC: Explicit pains from transcript: • Supplier risk ma | preference -3.0: preference strength -0.50 (weight 20) | exec_access +2.7: exec access strength +0.60 (weight 15) — from MEDDPICC: Likely stakeholders (based on banking structure & atte | business_case +1.8: business case strength +0.60 (weight 10) — from MEDDPICC: Achieve 15–25% cost savings on tail/unmanaged spend ,stalling -15.4: last genuine buyer touch 48d ago vs the ~21d cadence this stage needs — going quiet | engagement +2.4: engagement points 2.4 (type × buyer/rep × recency over 60d) | false_velocity +0.0: activity without progression — busy next-step log but the deal is slipping (close pushed / confidence down / b,
FrieslandCampina,Friesland_Upstream - 2025,Qualified,False,Pipeline,300000.0,2026-12-31,False,Slowing,5.0,5.0,10.0,10.0,0.0,9.1,28.4,30.0,52 by access to power (economic buyer)=gap,False,momentum_adj -40.0: momentum 10 vs stage-expected 50 | competitive -4.5: competitive strength -1.00 (weight 15) | trend_nudge -4.0: recent CRM moves: stage regressed | preference -3.0: preference strength -0.50 (weight 20) | exec_access +2.7: exec access strength +0.60 (weight 15) — from Next-Step/narrative: 'cpo' in Next-Step/narrative | stage_trend -2.4: stage trend -0.68,"stalling -25.0: last genuine buyer touch 98d ago vs the ~30d cadence this stage needs — going quiet | regression -10.0: stage trend: moved DOWN recently — forecast/stage cut, deal regressing | confidence -5.0: rep confidence 20% (low) | false_velocity +0.0: activity without progression — busy next-step log but the deal is slipping (close pushed / confidence down / b",
GRAB,GRAB_CLM_Intake,Qualified,False,Pipeline,300000.0,2027-01-25,False,Slowing,6.8,6.8,38.0,38.0,0.0,9.1,33.5,30.0,52 by access to power (economic buyer)=gap,False,momentum_adj -12.0: momentum 38 vs stage-expected 50 | exec_access +3.8: exec access strength +0.85 (weight 15) — from Next-Step/narrative: 'cpo' in Next-Step/narrative | business_case +2.5: business case strength +0.85 (weight 10) — from Next-Step/narrative: 'savings' in Next-Step/narrative | differentiation -2.4: differentiation strength -0.40 (weight 20) | preference -2.4: preference strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15),stalling -12.0: no activity instrumentation on this record yet (cadence reads fully after its next sweep) — Salesforce shows a,
Welltower Inc.,Welltower_eProcurement_April2026,Qualified,False,Pipeline,300000.0,2027-03-31,False,At Risk,5.0,5.0,27.6,27.6,0.0,11.2,33.5,30.0,52 by access to power (economic buyer)=gap,False,momentum_adj -22.4: momentum 28 vs stage-expected 50 | preference -2.4: preference strength -0.40 (weight 20) | exec_access -2.2: exec access strength -0.50 (weight 15) | differentiation +1.8: differentiation strength +0.30 (weight 20) | champion +1.4: champion strength +0.30 (weight 15) | competitive +0.9: competitive strength +0.20 (weight 15),stalling -22.4: last genuine buyer touch 86d ago vs the ~30d cadence this stage needs — going quiet,
The Lubrizol Corporation,Lubrizol [S+P2P] June'26,Qualified,False,Pipeline,300000.0,2027-03-31,False,Slowing,29.6,29.6,57.5,57.5,24.6,13.6,54.7,30.0,52 by access to power (economic buyer)=gap,False,differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'automation' in Next-Step/narrative | competitive -4.5: competitive strength -1.00 (weight 15) | trend_nudge +4.0: recent CRM moves: stage advanced | momentum_adj +3.8: momentum 58 vs stage-expected 50 | preference +2.4: preference strength +0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15),progression +6.0: stage trend: moved UP recently — deal advancing | engagement +1.5: engagement points 1.5 (type × buyer/rep × recency over 60d),
GAMUDA BERHAD,Gamuda P2P,Shortlisted,False,Best Case,300000.0,2026-11-30,False,Slowing,52.0,52.0,56.0,56.0,44.8,11.7,39.9,52.0,52 by access to power (economic buyer)=gap,False,differentiation +5.1: differentiation strength +0.85 (weight 20) — from Next-Step/narrative: 'pain point' in Next-Step/narrative | competitive -4.5: competitive strength -1.00 (weight 15) | forecast_conviction +4.0: Best Case forecast is evidence-consistent — manager conviction credited | trend_nudge +4.0: recent CRM moves: stage advanced | exec_access +3.8: exec access strength +0.85 (weight 15) — from Next-Step/narrative: 'cto' in Next-Step/narrative | business_case +2.5: business case strength +0.85 (weight 10) — from Next-Step/narrative: 'business case' in Next-Step/narrative,progression +6.0: stage trend: moved UP recently — deal advancing,
Urban Utilities,Urban Utilities_S2C,Qualified,False,Pipeline,300000.0,2026-10-28,False,At Risk,5.0,5.0,25.0,25.0,0.0,14.4,39.9,30.0,52 by access to power (economic buyer)=gap,False,momentum_adj -25.0: momentum 25 vs stage-expected 50 | differentiation +6.0: differentiation strength +1.00 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | exec_access -2.2: exec access strength -0.50 (weight 15) | competitive -2.2: competitive strength -0.50 (weight 15) | preference -1.8: preference strength -0.30 (weight 20),"stalling -25.0: last genuine buyer touch 100d ago vs the ~30d cadence this stage needs — going quiet | next_step_plan +4.0: 1 upcoming milestone(s), nearest 2026-10-03 — live advancing plan | false_velocity +0.0: activity without progression — busy next-step log but the deal is slipping (close pushed / confidence down / b",
Wheelson Technologies,Mumtalakat Wealth Fund,Shortlisted,False,Best Case,300000.0,2026-08-28,False,Slowing,52.0,52.0,52.3,52.3,35.3,31.6,44.2,52.0,52 by access to power (economic buyer)=gap,False,"trend_nudge +8.0: recent CRM moves: stage advanced, forecast upgraded, amount up, close pulled in | differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'automation' in Next-Step/narrative | forecast_conviction +4.0: Best Case forecast is evidence-consistent — manager conviction credited | exec_access +3.8: exec access strength +0.85 (weight 15) — from MEDDPICC 2.0: TBC - Mumtalakat's budget owner/decision maker has | momentum_adj -3.7: momentum 52 vs stage-expected 56 | preference +1.8: preference strength +0.30 (weight 20)","progression +6.0: stage trend: moved UP recently — deal advancing | stalling -4.0: no recent meeting, but active deal flow 6d ago — late-stage email/contract cadence (award/redlines/scheduling) | close_date_direction +0.3: Close date 2026-08-31 -> 2026-08-28 (pulled in 3d) — accelerating",
GRAINCORP,GrainCorp_S2C_2024,Shortlisted,False,Pipeline,300000.0,2026-11-27,False,Slowing,21.3,21.3,15.0,15.0,10.9,9.1,41.9,52.0,52 by access to power (economic buyer)=gap,False,momentum_adj -41.0: momentum 15 vs stage-expected 56 | differentiation +5.1: differentiation strength +0.85 (weight 20) — from Next-Step/narrative: 'pain point' in Next-Step/narrative | exec_access +3.8: exec access strength +0.85 (weight 15) — from Next-Step/narrative: 'cpo' in Next-Step/narrative | trend_nudge -3.0: recent CRM moves: forecast downgraded | business_case +2.5: business case strength +0.85 (weight 10) — from Next-Step/narrative: 'business case' in Next-Step/narrative | preference +2.4: preference strength +0.40 (weight 20),"stalling -25.0: last genuine buyer touch 99d ago vs the ~18d cadence this stage needs — going quiet | regression -10.0: forecast category trend: moved DOWN recently — forecast/stage cut, deal regressing | false_velocity +0.0: activity without progression — busy next-step log but the deal is slipping (close pushed / confidence down / b",
BlueScope Steel Limited,Bluescope Steel_S2P_2026,Initial Interest,False,Pipeline,300000.0,2026-12-01,False,Slowing,5.0,5.0,21.2,21.2,0.0,13.6,54.7,30.0,52 by access to power (economic buyer)=gap,False,momentum_adj -26.8: momentum 21 vs stage-expected 48 | exec_access +4.5: exec access strength +1.00 (weight 15) — from Next-Step/narrative: 'cpo' in Next-Step/narrative | champion -2.2: champion strength -0.50 (weight 15) | competitive -2.2: competitive strength -0.50 (weight 15) | differentiation +1.8: differentiation strength +0.30 (weight 20) | preference -1.8: preference strength -0.30 (weight 20),stalling -25.0: last genuine buyer touch 113d ago vs the ~30d cadence this stage needs — going quiet | confidence -5.0: rep confidence 25% (low) | engagement +1.2: engagement points 1.2 (type × buyer/rep × recency over 60d) | false_velocity +0.0: activity without progression — busy next-step log but the deal is slipping (close pushed / confidence down / b,
Whirlpool Corporation,Whirlpool_S2P_2025,Qualified,False,Pipeline,300000.0,2026-09-25,False,Off Track,15.8,5.0,46.0,35.0,0.0,30.7,42.0,30.0,52 by access to power (economic buyer)=gap,False,momentum_adj -15.0: momentum 35 vs stage-expected 50 | differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'consolidat' in Next-Step/narrative | preference -3.0: preference strength -0.50 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | exec_access -2.2: exec access strength -0.50 (weight 15) | commercial +1.5: commercial strength +1.00 (weight 5) — from Next-Step/narrative: 'purchase order' in Next-Step/narrative,verdict_reconcile -11.0: the deal's own verdict is 'Off Track' — momentum cannot read hotter than the holistic judgment; capped at 35 | stalling -4.0: no activity instrumentation on this record yet (cadence reads fully after its next sweep) — Salesforce shows a,
Henry Schein Inc,Henry Schein [ANA] 2025,Formal Evaluation,False,Pipeline,300000.0,2026-10-09,False,Slowing,5.0,5.0,22.2,16.6,0.0,13.6,39.7,52.0,52 by access to power (economic buyer)=gap,False,momentum_adj -35.4: momentum 17 vs stage-expected 52 | differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'inefficien' in Next-Step/narrative | competitive -4.5: competitive strength -1.00 (weight 15) | trend_nudge -4.0: recent CRM moves: close pushed 94d | preference -3.0: preference strength -0.50 (weight 20) | champion -2.2: champion strength -0.50 (weight 15),stalling -25.0: last genuine buyer touch 259d ago vs the ~21d cadence this stage needs — going quiet | close_date_direction -8.4: Close date 2026-07-07 -> 2026-10-09 (pushed out 94d) — 94d cumulative push is beyond tolerance,
Turnwell,Turnwell_S2C_2026,Formal Evaluation,True,Pipeline,300000.0,2026-10-24,False,Off Track,15.2,5.0,46.6,35.0,0.0,24.5,49.6,52.0,52 by access to power (economic buyer)=gap,False,momentum_adj -17.0: momentum 35 vs stage-expected 52 | differentiation -3.0: differentiation strength -0.50 (weight 20) | preference -2.4: preference strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | exec_access -2.2: exec access strength -0.50 (weight 15) | competitive -2.2: competitive strength -0.50 (weight 15),verdict_reconcile -11.6: the deal's own verdict is 'Off Track' — momentum cannot read hotter than the holistic judgment; capped at 35 | stalling -4.0: no activity instrumentation on this record yet (cadence reads fully after its next sweep) — Salesforce shows a | engagement +0.6: engagement points 0.6 (type × buyer/rep × recency over 60d),
VetPartners Australia Pty Ltd,VetPartners_S2C_2025,Qualified,False,Pipeline,300000.0,2026-11-15,False,Slowing,5.0,5.0,25.0,25.0,0.0,9.1,33.5,30.0,52 by access to power (economic buyer)=gap,False,momentum_adj -25.0: momentum 25 vs stage-expected 50 | exec_access +3.8: exec access strength +0.85 (weight 15) — from Next-Step/narrative: 'cpo' in Next-Step/narrative | preference -2.4: preference strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | competitive +2.2: competitive strength +0.50 (weight 15) | differentiation +1.8: differentiation strength +0.30 (weight 20),stalling -12.4: last genuine buyer touch 61d ago vs the ~30d cadence this stage needs — going quiet | false_velocity +0.0: activity without progression — busy next-step log but the deal is slipping (close pushed / confidence down / b,
Australian Homeware Enterprises,Aust Homeware Enterp,Closed Lost,False,Omitted,280000.0,2027-02-24,False,Off Track,,,,,,,,,,,,,Lost
Watchtower Bible Tract Society of New York,Watchtower Bible Tract Society of New York Opp - June '25,Formal Evaluation,False,Pipeline,280000.0,2026-09-17,False,Slowing,5.0,5.0,15.0,15.0,0.0,9.1,41.9,52.0,52 by access to power (economic buyer)=gap,False,"momentum_adj -37.0: momentum 15 vs stage-expected 52 | trend_nudge -8.0: recent CRM moves: stage regressed, forecast downgraded, close pushed 50d | scope_reduced -7.0: scope narrowed vs prior — Buyer requested a narrower Source-to-Contract scope on 7 Jan 2026 (CLM, sourcing, su | differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'inefficien' in Next-Step/narrative | business_case +3.0: business case strength +1.00 (weight 10) — from Next-Step/narrative: 'business case' in Next-Step/narrative | forecast_category_trend -2.5: forecast category trend -0.72","stalling -25.0: last genuine buyer touch 90d ago vs the ~21d cadence this stage needs — going quiet | regression -10.0: stage trend: moved DOWN recently — forecast/stage cut, deal regressing | false_velocity +0.0: activity without progression — busy next-step log but the deal is slipping (close pushed / confidence down / b",
Foundever Group,Foundever_S2P_Oct25,Formal Evaluation,True,Best Case,279300.0,2026-08-21,False,Slowing,40.3,40.3,49.9,49.9,32.3,13.6,44.2,52.0,52 by access to power (economic buyer)=gap,False,scope_reduced -7.0: scope narrowed vs prior — Julio confirmed on the 5 Mar 2026 call that Foundever has 'no interest in utilizing  | differentiation +5.1: differentiation strength +0.85 (weight 20) — from Next-Step/narrative: 'consolidat' in Next-Step/narrative | exec_access +3.8: exec access strength +0.85 (weight 15) — from Next-Step/narrative: 'cpo' in Next-Step/narrative | business_case +2.5: business case strength +0.85 (weight 10) — from Next-Step/narrative: 'business case' in Next-Step/narrative | momentum_adj -2.1: momentum 50 vs stage-expected 52 | preference +1.8: preference strength +0.30 (weight 20),stalling -9.1: last genuine buyer touch 37d ago vs the ~21d cadence this stage needs — going quiet | progression +6.0: forecast category trend: moved UP recently — deal advancing | engagement +3.0: 1 session(s) in the last 30d (legacy volume read),
Intuit Inc,Intuit ANA+P2P,Qualified,True,Pipeline,275000.0,2026-08-21,False,Slowing,5.0,5.0,28.8,28.8,0.0,13.6,44.2,30.0,60 by champion=gap,False,momentum_adj -21.2: momentum 29 vs stage-expected 50 | differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'differentiat' in Next-Step/narrative | competitive -4.5: competitive strength -1.00 (weight 15) | trend_nudge -4.0: recent CRM moves: stage regressed | preference -3.0: preference strength -0.50 (weight 20) | stage_trend -2.6: stage trend -0.74,"stalling -12.4: last genuine buyer touch 61d ago vs the ~30d cadence this stage needs — going quiet | regression -10.0: stage trend: moved DOWN recently — forecast/stage cut, deal regressing | engagement +1.2: engagement points 1.2 (type × buyer/rep × recency over 60d)",
LC Waikiki,LC Waikiki S2C Nov 2025,Formal Evaluation,False,Pipeline,275000.0,2027-01-30,False,Off Track,34.6,19.6,50.0,35.0,10.5,7.9,33.1,52.0,52 by access to power (economic buyer)=gap,False,momentum_adj -17.0: momentum 35 vs stage-expected 52 | preference +3.0: preference strength +0.50 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | exec_access -2.2: exec access strength -0.50 (weight 15) | differentiation +1.8: differentiation strength +0.30 (weight 20) | business_case +1.2: business case strength +0.40 (weight 10) — from Next-Step/narrative: 'savings' in Next-Step/narrative,verdict_reconcile -15.0: the deal's own verdict is 'Off Track' — momentum cannot read hotter than the holistic judgment; capped at 35,
Beko Global,Beko_P2P,Formal Evaluation,False,Pipeline,267000.0,2026-11-30,False,Slowing,30.7,20.1,81.3,60.0,12.4,13.6,39.7,52.0,52 by access to power (economic buyer)=gap,False,momentum_adj +4.0: momentum 60 vs stage-expected 52 | preference -3.0: preference strength -0.50 (weight 20) | trend_nudge -2.7: recent CRM moves: close pushed 61d | champion -2.2: champion strength -0.50 (weight 15) | exec_access -2.2: exec access strength -0.50 (weight 15) | competitive -2.2: competitive strength -0.50 (weight 15),"engagement +20.4: engagement points 20.4 on the RFP process clock (month-old deliverable work keeps weight) | verdict_reconcile -16.3: the deal's own verdict is 'Slowing' — momentum cannot read hotter than the holistic judgment; capped at 60 | next_step_plan +11.0: 3 upcoming milestone(s), nearest 2026-07-31 — live advancing plan | close_date_direction -5.1: Close date 2026-09-30 -> 2026-11-30 (pushed out 61d) — 61d cumulative push is beyond tolerance",
Mair Group,Mair Group S2P,Contract In Progress,False,Commit,265570.0,2026-05-28,False,Close Date Risk,99.0,99.0,95.2,95.2,89.3,32.2,54.7,100.0,,False,"momentum_adj +16.6: momentum 95 vs stage-expected 62 | forecast_conviction +7.0: Commit forecast is evidence-consistent — manager conviction credited | trend_nudge +7.0: recent CRM moves: forecast upgraded, amount up, close pulled in | preference +6.0: preference strength +1.00 (weight 20) — from Next-Step/narrative: 'preferred vendor' in Next-Step/narrative | champion +4.5: champion strength +1.00 (weight 15) — from Next-Step/narrative: 'champion' in Next-Step/narrative | exec_access +4.5: exec access strength +1.00 (weight 15) — from Next-Step/narrative: 'cpo' in Next-Step/narrative",engagement +35.0: engagement points 35.0 (type × buyer/rep × recency over 60d) | progression +6.0: forecast category trend: moved UP recently — deal advancing | confidence +4.0: rep confidence 100% (high) | close_date_direction +0.2: Close date 2026-05-30 -> 2026-05-28 (pulled in 2d) — accelerating,
Flydubai,Fly Dubai,Qualified,False,Pipeline,265000.0,2026-12-30,False,Slowing,14.7,9.2,40.9,35.4,0.0,13.6,42.0,30.0,52 by access to power (economic buyer)=gap,False,momentum_adj -14.6: momentum 35 vs stage-expected 50 | exec_access +4.5: exec access strength +1.00 (weight 15) — from Next-Step/narrative: 'decision maker' in Next-Step/narrative | preference -2.4: preference strength -0.40 (weight 20) | stage_trend +2.4: stage trend +0.69 | amount_trend +2.3: amount trend +0.92 | close_date_trend -2.3: close date trend -0.92,"stalling -25.0: last genuine buyer touch 246d ago vs the ~30d cadence this stage needs — going quiet | engagement +12.0: engagement points 12.0 (type × buyer/rep × recency over 60d) | close_date_direction -8.1: Close date 2026-09-30 -> 2026-12-30 (pushed out 91d) — 91d cumulative push is beyond tolerance | progression +6.0: stage trend: moved UP recently — deal advancing | next_step_plan +5.5: 4 upcoming milestone(s), nearest 2026-07-24 — live advancing plan | confidence -5.0: rep confidence 25% (low)",
MTR Corporation Limited,MTR_HK_CLM,Shortlisted,False,Best Case,260000.0,2026-10-18,False,Slowing,60.0,60.0,79.0,60.0,55.0,13.6,52.9,60.0,60 by champion=gap,False,differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'manual process' in Next-Step/narrative | exec_access +4.5: exec access strength +1.00 (weight 15) — from Next-Step/narrative: 'cpo' in Next-Step/narrative | preference -2.4: preference strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | momentum_adj +2.0: momentum 60 vs stage-expected 56 | business_case -1.5: business case strength -0.50 (weight 10),"verdict_reconcile -19.0: the deal's own verdict is 'Slowing' — momentum cannot read hotter than the holistic judgment; capped at 60 | engagement +18.0: 11 inbound buyer repl(ies) in the last 30d (legacy volume read) | next_step_plan +11.0: 10 upcoming milestone(s), nearest 2026-07-14 — live advancing plan",
Boral Limited,Boral S2C_2026,Qualified,False,Pipeline,260000.0,2027-03-25,False,Slowing,25.1,24.1,54.0,52.0,17.7,13.6,51.0,30.0,52 by access to power (economic buyer)=gap,False,differentiation +6.0: differentiation strength +1.00 (weight 20) | preference -2.4: preference strength -0.40 (weight 20) | exec_access -2.2: exec access strength -0.50 (weight 15) | competitive +2.2: competitive strength +0.50 (weight 15) | stage_trend +2.1: stage trend +0.58 | close_date_trend -2.1: close date trend -0.83,close_date_direction -12.0: Close date 2026-03-25 -> 2027-03-25 (pushed out 365d) — 365d cumulative push is beyond tolerance | engagement +8.0: buyer touched the deal 14d ago (buyer reply) — freshness floor | progression +6.0: stage trend: moved UP recently — deal advancing,
Bright Horizons Family Solutions,Bright Horizons 2025 - S2P,Shortlisted,True,Commit,250945.49,2026-07-31,True,Close Date Risk,99.0,70.0,91.0,91.0,57.3,37.1,54.7,70.0,74 by access to power (economic buyer)=partial,False,momentum_adj +17.5: momentum 91 vs stage-expected 56 | relationship_leverage +10.0: existing account relationship — Bright Horizon Phase 2 - S2P is a live deal on this account (win 30 / momentum | forecast_conviction +7.0: Commit forecast is evidence-consistent — manager conviction credited | differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'inefficien' in Next-Step/narrative | preference +6.0: preference strength +1.00 (weight 20) — from Next-Step/narrative: 'in the lead' in Next-Step/narrative | champion +4.5: champion strength +1.00 (weight 15),engagement +35.0: engagement points 35.0 (type × buyer/rep × recency over 60d) | progression +6.0: forecast category trend: moved UP recently — deal advancing,
RHB Banking Group,RHB_S2P_2026,Qualified,False,Pipeline,250000.0,2026-11-30,False,Slowing,30.0,30.0,64.0,60.0,21.9,13.6,37.4,30.0,52 by access to power (economic buyer)=gap,False,"trend_nudge +6.0: recent CRM moves: stage advanced, amount up | momentum_adj +5.0: momentum 60 vs stage-expected 50 | champion -2.2: champion strength -0.50 (weight 15) | exec_access -2.2: exec access strength -0.50 (weight 15) | competitive +2.2: competitive strength +0.50 (weight 15) | stage_trend +2.1: stage trend +0.60","next_step_plan +8.0: 1 upcoming milestone(s), nearest 2026-08-26 — live advancing plan | progression +6.0: stage trend: moved UP recently — deal advancing | verdict_reconcile -4.0: the deal's own verdict is 'Slowing' — momentum cannot read hotter than the holistic judgment; capped at 60",
ST Engineering,STE Agentic Suite (phase 2),Qualified,False,Pipeline,250000.0,2026-10-26,False,Slowing,30.0,30.0,58.0,58.0,23.1,11.7,39.9,30.0,74 by access to power (economic buyer)=partial,False,relationship_leverage +10.0: existing account relationship — Zycus already closed-won on this account; rapport carries to this expansion | differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'consolidat' in Next-Step/narrative | momentum_adj +4.0: momentum 58 vs stage-expected 50 | preference +3.0: preference strength +0.50 (weight 20) | exec_access +2.7: exec access strength +0.60 (weight 15) | business_case +2.5: business case strength +0.85 (weight 10) — from Next-Step/narrative: 'roi' in Next-Step/narrative,engagement +8.0: buyer touched the deal 1d ago (meeting) — freshness floor,
DP World,DPWorld_Spend+Intake_June'26,Formal Evaluation,False,Pipeline,250000.0,2026-12-10,False,On Track,52.0,52.0,74.7,74.7,53.4,0.0,42.0,52.0,52 by access to power (economic buyer)=gap,False,"momentum_adj +11.4: momentum 75 vs stage-expected 52 | differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'inefficien' in Next-Step/narrative | trend_nudge +6.0: recent CRM moves: stage advanced, close pulled in | preference +2.4: preference strength +0.40 (weight 20) | exec_access -2.2: exec access strength -0.50 (weight 15) | competitive +2.2: competitive strength +0.50 (weight 15)",engagement +16.6: engagement points 16.6 (type × buyer/rep × recency over 60d) | progression +6.0: stage trend: moved UP recently — deal advancing | close_date_direction +2.1: Close date 2026-12-31 -> 2026-12-10 (pulled in 21d) — accelerating,
Netwealth Investments,"Netwealth_SRPM,CLM,Spend_2026",Qualified,False,Pipeline,250000.0,2026-11-17,False,Close Date Risk,30.0,30.0,69.0,63.4,11.0,37.1,39.7,30.0,52 by access to power (economic buyer)=gap,False,momentum_adj +6.7: momentum 63 vs stage-expected 50 | differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'burning platform' in Next-Step/narrati | business_case +3.0: business case strength +1.00 (weight 10) — from Next-Step/narrative: 'business case' in Next-Step/narrative | close_date_trend -2.3: close date trend -0.91 | exec_access -2.2: exec access strength -0.50 (weight 15) | stage_trend +2.1: stage trend +0.58,"close_date_direction -8.6: Close date 2026-08-13 -> 2026-11-17 (pushed out 96d) — 96d cumulative push is beyond tolerance | engagement +8.0: buyer touched the deal -16d ago (meeting) — freshness floor | next_step_plan +8.0: 1 upcoming milestone(s), nearest 2026-07-26 — live advancing plan | progression +6.0: stage trend: moved UP recently — deal advancing",
Intuitive Surgical Operations Inc,IntuSurg_June 26',Qualified Out,False,Omitted,250000.0,2026-11-24,False,Off Track,,,,,,,,,,,,,Qualified Out
Publicis Groupe,Publicis - CLM and Request Management,Vendor Selected,False,Commit,250000.0,2026-07-15,False,Close Date Risk,99.0,99.0,95.0,95.0,89.1,35.8,63.2,100.0,,False,"momentum_adj +17.5: momentum 95 vs stage-expected 60 | trend_nudge +8.0: recent CRM moves: stage advanced, forecast upgraded, amount up, close pushed 2d | forecast_conviction +7.0: Commit forecast is evidence-consistent — manager conviction credited | differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'manual process' in Next-Step/narrative | preference +6.0: preference strength +1.00 (weight 20) | champion +4.5: champion strength +1.00 (weight 15) — from Next-Step/narrative: 'champion' in Next-Step/narrative",engagement +35.0: engagement points 35.0 (type × buyer/rep × recency over 60d) | progression +6.0: stage trend: moved UP recently — deal advancing | confidence +4.0: rep confidence 90% (high),
ZS,ZS S2P 2025,Omitted,False,Omitted,250000.0,2027-01-29,False,At Risk,,,,,,,,,,,,,Omitted
NBN Co limited,NBN_S2C_2026,Qualified,False,Pipeline,250000.0,2026-10-28,False,On Track,8.0,8.0,46.0,46.0,1.7,13.6,54.7,30.0,66 by competitive visibility=gap,False,momentum_adj -4.0: momentum 46 vs stage-expected 50 | preference -2.4: preference strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | competitive -2.2: competitive strength -0.50 (weight 15) | differentiation +1.8: differentiation strength +0.30 (weight 20) | business_case -1.5: business case strength -0.50 (weight 10),stalling -4.0: no activity instrumentation on this record yet (cadence reads fully after its next sweep) — Salesforce shows a,
"Del Monte Foods, Inc",DelMonte_Mexico_S2C,Qualified,False,Pipeline,250000.0,2027-07-30,False,Slowing,30.0,30.0,52.0,52.0,24.0,13.6,52.9,30.0,52 by access to power (economic buyer)=gap,False,champion +4.5: champion strength +1.00 (weight 15) — from Next-Step/narrative: 'champion' in Next-Step/narrative | trend_nudge +4.0: recent CRM moves: stage advanced | business_case +3.0: business case strength +1.00 (weight 10) — from Next-Step/narrative: 'savings' in Next-Step/narrative | stage_trend +2.4: stage trend +0.69 | exec_access -2.2: exec access strength -0.50 (weight 15) | competitive +2.2: competitive strength +0.50 (weight 15),progression +6.0: stage trend: moved UP recently — deal advancing | stalling -4.0: no activity instrumentation on this record yet (cadence reads fully after its next sweep) — Salesforce shows a,
Lincoln Financial,Lincon Fin [S2P] Jun'26,Qualified,False,Pipeline,250000.0,2026-12-01,False,Close Date Risk,27.9,27.9,64.0,64.0,19.6,16.8,42.0,30.0,52 by access to power (economic buyer)=gap,False,momentum_adj +7.0: momentum 64 vs stage-expected 50 | trend_nudge +4.0: recent CRM moves: stage advanced | preference -2.4: preference strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | exec_access -2.2: exec access strength -0.50 (weight 15) | competitive -2.2: competitive strength -0.50 (weight 15),engagement +8.0: buyer touched the deal 8d ago (buyer reply) — freshness floor | progression +6.0: stage trend: moved UP recently — deal advancing,
